;-1.000000;-4.242641;-4.242641;2.000000;-0.176777;0.227684;-0.250000;0.125220;-0.034814;-1.000000;-4.242641;-4.242641;-0.176777;0.227684;0.125220;-0.034814;0.125000;0.227684;0.227684;-0.035777;-0.157135;-0.022097;0.053408;
-1.000000;;-4.242641;-4.242641;-0.176777;2.000000;0.227684;0.125220;-0.250000;-0.034814;0.125000;0.227684;0.227684;-0.035777;-0.157135;-0.022097;0.053408;-0.037037;-0.034814;-0.034814;0.022136;0.053408;-0.001641;-0.033941;
-4.242641;-4.242641;;-1.000000;0.227684;0.227684;0.125000;-0.034814;-0.034814;-0.037037;0.227684;2.000000;-0.176777;-0.157135;-0.035777;0.053408;0.022136;-0.034814;-0.250000;0.125220;0.053408;-0.022097;-0.033941;-0.001641;
-4.242641;-4.242641;-1.000000;;-4.242641;-4.242641;-1.000000;0.227684;0.227684;0.125000;0.227684;-0.176777;2.000000;0.227684;-0.176777;-0.157135;-0.035777;-0.034814;0.125220;-0.250000;-0.034814;0.125220;0.053408;-0.022097;
2.000000;-0.176777;0.227684;-4.242641;;-1.000000;-4.242641;2.000000;-0.176777;0.227684;-0.176777;0.227684;-4.242641;-1.000000;-4.242641;-0.176777;0.227684;-0.035777;-0.157135;0.227684;0.125000;0.227684;-0.035777;-0.157135;
-0.176777;2.000000;0.227684;-4.242641;-1.000000;;-4.242641;-0.176777;2.000000;0.227684;-0.035777;-0.157135;0.227684;0.125000;0.227684;-0.035777;-0.157135;0.022136;0.053408;-0.034814;-0.037037;-0.034814;0.022136;0.053408;
0.227684;0.227684;0.125000;-1.000000;-4.242641;-4.242641;;-4.242641;-4.242641;-1.000000;-0.157135;-0.035777;-0.176777;0.227684;2.000000;0.227684;-0.176777;0.053408;-0.022097;0.125220;-0.034814;-0.250000;-0.034814;0.125220;
-0.250000;0.125220;-0.034814;0.227684;2.000000;-0.176777;-4.242641;;-1.000000;-4.242641;0.125220;-0.034814;0.227684;-0.176777;-4.242641;-1.000000;-4.242641;-0.022097;0.053408;-0.157135;-0.035777;0.227684;0.125000;0.227684;
0.125220;-0.250000;-0.034814;0.227684;-0.176777;2.000000;-4.242641;-1.000000;;-4.242641;-0.022097;0.053408;-0.157135;-0.035777;0.227684;0.125000;0.227684;-0.001641;-0.033941;0.053408;0.022136;-0.034814;-0.037037;-0.034814;
-0.034814;-0.034814;-0.037037;0.125000;0.227684;0.227684;-1.000000;-4.242641;-4.242641;;0.053408;0.022136;-0.035777;-0.157135;-0.176777;0.227684;2.000000;-0.033941;-0.001641;-0.022097;0.053408;0.125220;-0.034814;-0.250000;
-1.000000;0.125000;0.227684;0.227684;-0.176777;-0.035777;-0.157135;0.125220;-0.022097;0.053408;;-4.242641;-4.242641;2.000000;0.227684;-0.250000;-0.034814;-1.000000;-4.242641;-4.242641;-0.176777;0.227684;0.125220;-0.034814;
-4.242641;0.227684;2.000000;-0.176777;0.227684;-0.157135;-0.035777;-0.034814;0.053408;0.022136;-4.242641;;-1.000000;0.227684;0.125000;-0.034814;-0.037037;0.227684;2.000000;-0.176777;-0.157135;-0.035777;0.053408;0.022136;
-4.242641;0.227684;-0.176777;2.000000;-4.242641;0.227684;-0.176777;0.227684;-0.157135;-0.035777;-4.242641;-1.000000;;-4.242641;-1.000000;0.227684;0.125000;0.227684;-0.176777;2.000000;0.227684;-0.176777;-0.157135;-0.035777;
-0.176777;-0.035777;-0.157135;0.227684;-1.000000;0.125000;0.227684;-0.176777;-0.035777;-0.157135;2.000000;0.227684;-4.242641;;-4.242641;2.000000;0.227684;-0.176777;0.227684;-4.242641;-1.000000;-4.242641;-0.176777;0.227684;
0.227684;-0.157135;-0.035777;-0.176777;-4.242641;0.227684;2.000000;-4.242641;0.227684;-0.176777;0.227684;0.125000;-1.000000;-4.242641;;-4.242641;-1.000000;-0.157135;-0.035777;-0.176777;0.227684;2.000000;0.227684;-0.176777;
