# Honeycomb lattice (parallelogramm)
# 38 spins
# Short-range, without boundary conditions
;-2.6943;;;;-2.6943;;;2.6943;2.6943;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-2.6943;;-2.6943;;;;;;-2.6943;;;;;;;;-2.6943;;;;;;;;;;;;;;;;;;;;;
;-2.6943;;-2.6943;;;;;;;;;;;;;2.6943;;;;2.6943;;;;;;;;;;;;;;;;;
;;-2.6943;;-2.6943;;;;;;;;;;;;;;;;-2.6943;;;;;;;;;;;;;;;;;
;;;-2.6943;;-2.6943;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-2.6943;;;;-2.6943;;;;;-2.6943;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;-2.6943;;;-2.6943;;;2.6943;2.6943;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;-2.6943;;-2.6943;;;;;-2.6943;;;;;;;;-2.6943;;;;;;;;;;;;;;;;
2.6943;-2.6943;;;;;;-2.6943;;;;;;;;;;;;;;2.6943;;;;;;;;;;;;;;;;
2.6943;;;;;-2.6943;;;;;-2.6943;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;-2.6943;;;-2.6943;;;;;-2.6943;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;-2.6943;;;-2.6943;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;-2.6943;;-2.6943;;;;;;;;;;;-2.6943;;;;;;;;;;;;;
;;;;;;2.6943;-2.6943;;;;;-2.6943;;;;;;;;;;;;2.6943;;;;;;;;;;;;;
;;;;;;2.6943;;;;-2.6943;;;;;-2.6943;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;-2.6943;;;-2.6943;;;;;;;;;;;;;;;;;;;;;;;
;-2.6943;2.6943;;;;;;;;;;;;;;;-2.6943;;;;;;2.6943;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;-2.6943;;-2.6943;;;;;-2.6943;;;;;;;2.6943;;;;;;;
;;;;;;;;;;;;;;;;;-2.6943;;-2.6943;;;;;;;;;;;-2.6943;;;;;;;
;;;;;;;;;;;;;;;;;;-2.6943;;-2.6943;;;;;;;;;;;;;;;;;
;;2.6943;-2.6943;;;;;;;;;;;;;;;;-2.6943;;;;;;;;;;;;;;;;;;
;;;;;;;-2.6943;2.6943;;;;;;;;;;;;;;-2.6943;;;;2.6943;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;-2.6943;;-2.6943;;;-2.6943;-2.6943;;;;;;;;;;
;;;;;;;;;;;;;;;;2.6943;-2.6943;;;;;-2.6943;;;;;2.6943;;;;;;;;;;
;;;;;;;;;;;;-2.6943;2.6943;;;;;;;;;;;;-2.6943;;;;;;;;;;;;-2.6943
;;;;;;;;;;;;;;;;;;;;;;;;-2.6943;;-2.6943;;;;;-2.6943;;;;;;2.6943
;;;;;;;;;;;;;;;;;;;;;2.6943;-2.6943;;;-2.6943;;;;;;2.6943;;;;;;
;;;;;;;;;;;;;;;;;;;;;;-2.6943;2.6943;;;;;-2.6943;;;;;2.6943;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;-2.6943;;-2.6943;;;;-2.6943;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;-2.6943;;-2.6943;;;;;;;
;;;;;;;;;;;;;;;;;2.6943;-2.6943;;;;;;;;;;;-2.6943;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;-2.6943;2.6943;;;;;;-2.6943;;;;2.6943;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-2.6943;;-2.6943;;;-2.6943;
;;;;;;;;;;;;;;;;;;;;;;;;;;;2.6943;-2.6943;;;;-2.6943;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-2.6943;;-2.6943
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-2.6943;;-2.6943;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.6943;-2.6943;;;-2.6943;;
;;;;;;;;;;;;;;;;;;;;;;;;-2.6943;2.6943;;;;;;;;;-2.6943;;;
